..\datos\GKD-b_10_n25_m7.txt;496.248;15;
..\datos\GKD-b_11_n50_m5.txt;304.06;57;
..\datos\GKD-b_12_n50_m5.txt;394.752;57;
..\datos\GKD-b_13_n50_m5.txt;150.054;52;
..\datos\GKD-b_14_n50_m5.txt;127.671;52;
..\datos\GKD-b_15_n50_m5.txt;302.129;54;
..\datos\GKD-b_16_n50_m15.txt;799.463;62;
..\datos\GKD-b_17_n50_m15.txt;448.945;59;
..\datos\GKD-b_18_n50_m15.txt;1249.66;57;
..\datos\GKD-b_19_n50_m15.txt;1292.85;55;
..\datos\GKD-b_1_n25_m2.txt;0;13;
..\datos\GKD-b_20_n50_m15.txt;1308.21;54;
..\datos\GKD-b_21_n100_m10.txt;359.024;216;
..\datos\GKD-b_22_n100_m10.txt;859.956;223;
..\datos\GKD-b_23_n100_m10.txt;429.927;205;
..\datos\GKD-b_24_n100_m10.txt;1159.42;204;
..\datos\GKD-b_25_n100_m10.txt;782.579;206;
..\datos\GKD-b_26_n100_m30.txt;1913.18;219;
..\datos\GKD-b_27_n100_m30.txt;1787.88;224;
..\datos\GKD-b_28_n100_m30.txt;4795.14;212;
..\datos\GKD-b_29_n100_m30.txt;4181.24;214;
..\datos\GKD-b_2_n25_m2.txt;0;12;
..\datos\GKD-b_30_n100_m30.txt;2349.17;225;
..\datos\GKD-b_31_n125_m12.txt;156.495;333;
..\datos\GKD-b_32_n125_m12.txt;1315.26;324;
..\datos\GKD-b_33_n125_m12.txt;528.773;322;
..\datos\GKD-b_34_n125_m12.txt;1232.29;327;
..\datos\GKD-b_35_n125_m12.txt;421.406;317;
..\datos\GKD-b_36_n125_m37.txt;4687.91;339;
..\datos\GKD-b_37_n125_m37.txt;5186.79;338;
..\datos\GKD-b_38_n125_m37.txt;3333.74;337;
..\datos\GKD-b_39_n125_m37.txt;3858.93;334;
..\datos\GKD-b_3_n25_m2.txt;0;13;
..\datos\GKD-b_40_n125_m37.txt;5004.62;333;
..\datos\GKD-b_41_n150_m15.txt;1934.08;455;
..\datos\GKD-b_42_n150_m15.txt;915.992;463;
..\datos\GKD-b_43_n150_m15.txt;671.612;472;
..\datos\GKD-b_44_n150_m15.txt;1118.03;482;
..\datos\GKD-b_45_n150_m15.txt;1253.94;477;
..\datos\GKD-b_46_n150_m45.txt;5323.77;515;
..\datos\GKD-b_47_n150_m45.txt;7002.98;515;
..\datos\GKD-b_48_n150_m45.txt;4452.83;504;
..\datos\GKD-b_49_n150_m45.txt;7045.26;486;
..\datos\GKD-b_4_n25_m2.txt;0;13;
..\datos\GKD-b_50_n150_m45.txt;4690.45;492;
..\datos\GKD-b_5_n25_m2.txt;0;14;
..\datos\GKD-b_6_n25_m7.txt;723.684;13;
..\datos\GKD-b_7_n25_m7.txt;819.029;14;
..\datos\GKD-b_8_n25_m7.txt;652.624;14;
..\datos\GKD-b_9_n25_m7.txt;175.038;13;
